sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.8666,0.5147,84.68934046345811,original
T=0.1_2_original,0.1,0.8456,0.5,85.32338078291816,original
T=0.1_3_original,0.1,0.9347,0.4412,83.238375,original
T=0.1_4_original,0.1,0.959,0.4559,86.43337037037037,original
T=0.1_5_original,0.1,0.8892,0.4412,88.32253234750463,original
T=0.1_6_original,0.1,0.9081,0.4853,85.13683453237411,original
T=0.1_7_original,0.1,0.8504,0.5294,86.71010619469028,original
T=0.1_8_original,0.1,0.8709,0.5,85.56108348134991,original
T=0.1_9_original,0.1,0.857,0.5294,86.73336298932385,original
T=0.1_10_original,0.1,0.8645,0.5,85.31080071174377,original
T=0.1_11_original,0.1,0.9086,0.4265,83.62839059674502,original
T=0.1_12_original,0.1,0.9033,0.4706,86.59505434782609,original
T=0.1_13_original,0.1,0.9118,0.4853,84.62293900184844,original
T=0.1_14_original,0.1,0.9393,0.4412,85.4572072072072,original
T=0.1_15_original,0.1,0.8872,0.5147,85.86729055258466,original
T=0.1_16_original,0.1,0.9087,0.4559,85.35097247706422,original
T=0.1_17_original,0.1,0.8749,0.5,83.51419064748201,original
T=0.1_18_original,0.1,0.9444,0.4412,86.26370235934664,original
T=0.1_19_original,0.1,0.9096,0.4559,84.15621621621621,original
T=0.1_20_original,0.1,0.879,0.4706,83.84684684684684,original
T=0.1_21_original,0.1,0.8929,0.4559,87.85034926470588,original
T=0.1_22_original,0.1,0.8888,0.4559,83.53119133574008,original
T=0.1_23_original,0.1,0.8626,0.5,82.3208199643494,original
T=0.1_24_original,0.1,0.9175,0.4706,88.91019503546099,original
T=0.1_25_original,0.1,0.8918,0.4853,84.33091071428571,original
T=0.1_26_original,0.1,0.8892,0.5,86.81707142857142,original
T=0.1_27_original,0.1,0.8548,0.4559,87.80582720588235,original
T=0.1_28_original,0.1,0.9361,0.4706,84.77628415300545,original
T=0.1_29_original,0.1,0.9018,0.4559,82.9764144144144,original
T=0.1_30_original,0.1,0.9432,0.4412,84.58673394495413,original
T=0.1_31_original,0.1,0.9125,0.4706,86.62508960573477,original
T=0.1_32_original,0.1,0.8528,0.4853,84.99357142857144,original
T=0.1_33_original,0.1,0.8919,0.4559,84.16989110707804,original
T=0.1_34_original,0.1,0.8708,0.4706,87.06039568345324,original
T=0.1_35_original,0.1,0.9003,0.4412,87.65001831501831,original
T=0.1_36_original,0.1,0.9189,0.4559,85.7789836660617,original
T=0.1_37_original,0.1,0.8797,0.4853,83.55690647482014,original
T=0.1_38_original,0.1,0.8706,0.4853,84.56177215189874,original
T=0.1_39_original,0.1,0.92,0.4853,85.19906642728905,original
T=0.1_40_original,0.1,0.9114,0.4706,83.93402903811251,original
T=0.1_41_original,0.1,0.9427,0.4559,83.73364140480592,original
T=0.1_42_original,0.1,0.9088,0.4706,83.90330324909748,original
