sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.8688,0.455,80.5574661285673,original
T=0.1_2_original,0.1,0.8657,0.4437,79.77757081545064,original
T=0.1_3_original,0.1,0.8603,0.4505,82.30283347614966,original
T=0.1_4_original,0.1,0.8676,0.4527,80.7543030653557,original
T=0.1_5_original,0.1,0.8573,0.4572,80.01345135290731,original
T=0.1_6_original,0.1,0.839,0.4257,80.16835820895523,original
T=0.1_7_original,0.1,0.8551,0.4392,79.95619698263592,original
T=0.1_8_original,0.1,0.851,0.4527,79.97083262047333,original
T=0.1_9_original,0.1,0.8573,0.4505,80.74172670097197,original
T=0.1_10_original,0.1,0.8643,0.4459,79.98617951668587,original
T=0.1_11_original,0.1,0.8547,0.4437,81.19546187050359,original
T=0.1_12_original,0.1,0.8516,0.4527,80.6431416309013,original
T=0.1_13_original,0.1,0.8716,0.4482,80.43576212471132,original
T=0.1_14_original,0.1,0.8699,0.4617,81.61039735099338,original
T=0.1_15_original,0.1,0.8512,0.4347,81.63420609579099,original
T=0.1_16_original,0.1,0.8652,0.4437,80.84949152542373,original
T=0.1_17_original,0.1,0.8688,0.4437,82.70008625646925,original
T=0.1_18_original,0.1,0.8622,0.4685,80.52618600682592,original
T=0.1_19_original,0.1,0.8493,0.4324,81.21266935716345,original
T=0.1_20_original,0.1,0.8609,0.4279,80.99646588638309,original
T=0.1_21_original,0.1,0.8673,0.4234,80.86243135011442,original
T=0.1_22_original,0.1,0.857,0.4437,81.46795063145808,original
T=0.1_23_original,0.1,0.85,0.4595,80.7873520069304,original
T=0.1_24_original,0.1,0.8581,0.4482,80.94437625466016,original
T=0.1_25_original,0.1,0.8472,0.4459,80.6574234182651,original
T=0.1_26_original,0.1,0.8686,0.4527,81.31569724510082,original
T=0.1_27_original,0.1,0.8648,0.4617,80.91124745565573,original
T=0.1_28_original,0.1,0.8702,0.4459,82.16357142857143,original
T=0.1_29_original,0.1,0.863,0.4347,80.13439669891862,original
T=0.1_30_original,0.1,0.8505,0.4324,80.25180195739782,original
T=0.1_31_original,0.1,0.8551,0.455,81.15816700028596,original
T=0.1_32_original,0.1,0.8512,0.4459,82.06901775486827,original
T=0.1_33_original,0.1,0.8495,0.4347,82.19115971223022,original
T=0.1_34_original,0.1,0.8708,0.4527,79.48076703735386,original
T=0.1_35_original,0.1,0.852,0.4414,79.07285223367698,original
T=0.1_36_original,0.1,0.8637,0.4527,80.94209682039529,original
T=0.1_37_original,0.1,0.8617,0.4459,80.87686684073107,original
T=0.1_38_original,0.1,0.8442,0.4459,81.40992301112061,original
T=0.1_39_original,0.1,0.8516,0.4279,82.7363670197538,original
T=0.1_40_original,0.1,0.8594,0.4392,81.50876256101063,original
T=0.1_41_original,0.1,0.8619,0.4392,79.70409930715935,original
T=0.1_42_original,0.1,0.8562,0.4414,80.760500575374,original
T=0.1_43_original,0.1,0.8491,0.4369,79.02218579234973,original
T=0.1_44_original,0.1,0.8451,0.4347,80.82714409221902,original
T=0.1_45_original,0.1,0.8601,0.4392,80.02963579007744,original
T=0.1_46_original,0.1,0.8531,0.4414,81.41162200684151,original
T=0.1_47_original,0.1,0.8513,0.4527,81.25639024390244,original
T=0.1_48_original,0.1,0.8528,0.4392,80.51727012317389,original
T=0.1_49_original,0.1,0.8577,0.4505,82.2409623671359,original
T=0.1_50_original,0.1,0.8475,0.4482,80.35029453817558,original
T=0.1_1_wm,0.1,0.8508,0.4392,81.3636956521739,wm
T=0.1_2_wm,0.1,0.8537,0.4505,79.68266743317045,wm
T=0.1_3_wm,0.1,0.8482,0.4459,81.03309381237524,wm
T=0.1_4_wm,0.1,0.8745,0.4482,79.43273041474654,wm
T=0.1_5_wm,0.1,0.8571,0.4459,80.45658854166666,wm
T=0.1_6_wm,0.1,0.8409,0.4234,80.50527841561424,wm
T=0.1_7_wm,0.1,0.8549,0.4392,79.81379094275134,wm
T=0.1_8_wm,0.1,0.8486,0.4527,80.07573139435414,wm
T=0.1_9_wm,0.1,0.8665,0.4527,81.10243888409548,wm
T=0.1_10_wm,0.1,0.863,0.4505,80.67585035971221,wm
T=0.1_11_wm,0.1,0.8567,0.4505,81.31189298043729,wm
T=0.1_12_wm,0.1,0.8539,0.4482,80.9776005706134,wm
T=0.1_13_wm,0.1,0.867,0.4347,80.59166088965917,wm
T=0.1_14_wm,0.1,0.871,0.4572,82.13032529770548,wm
T=0.1_15_wm,0.1,0.8515,0.4392,81.77632882234381,wm
T=0.1_16_wm,0.1,0.853,0.4505,80.61856320184279,wm
T=0.1_17_wm,0.1,0.8695,0.4437,83.30956634118323,wm
T=0.1_18_wm,0.1,0.8608,0.464,81.53802609188881,wm
T=0.1_19_wm,0.1,0.8491,0.4324,81.79724507531864,wm
T=0.1_20_wm,0.1,0.8611,0.4324,81.80478397711015,wm
T=0.1_21_wm,0.1,0.8662,0.4302,81.49099542334096,wm
T=0.1_22_wm,0.1,0.8575,0.4437,81.5479701406833,wm
T=0.1_23_wm,0.1,0.8475,0.4572,80.9151111111111,wm
T=0.1_24_wm,0.1,0.8589,0.4482,80.84546444954128,wm
T=0.1_25_wm,0.1,0.8457,0.4505,80.34145485911442,wm
T=0.1_26_wm,0.1,0.8567,0.4324,82.2669008854613,wm
T=0.1_27_wm,0.1,0.8537,0.4572,81.70119587037567,wm
T=0.1_28_wm,0.1,0.8555,0.4302,82.15675636574075,wm
T=0.1_29_wm,0.1,0.8611,0.4347,80.06604214123007,wm
T=0.1_30_wm,0.1,0.8515,0.4482,80.35208094144662,wm
T=0.1_31_wm,0.1,0.8557,0.455,81.22577472841624,wm
T=0.1_32_wm,0.1,0.8514,0.4437,82.911623246493,wm
T=0.1_33_wm,0.1,0.8482,0.4392,81.98468164794008,wm
T=0.1_34_wm,0.1,0.8705,0.4527,79.4954021677125,wm
T=0.1_35_wm,0.1,0.8469,0.4369,80.77654043280181,wm
T=0.1_36_wm,0.1,0.8637,0.4527,80.94209682039529,wm
T=0.1_37_wm,0.1,0.8661,0.4437,80.40251823752553,wm
T=0.1_38_wm,0.1,0.8443,0.4459,81.469089871612,wm
T=0.1_39_wm,0.1,0.8574,0.4392,82.66913679380558,wm
T=0.1_40_wm,0.1,0.8544,0.4414,81.81986191024164,wm
T=0.1_41_wm,0.1,0.8582,0.4414,80.16395809080325,wm
T=0.1_42_wm,0.1,0.8557,0.4392,80.8245172413793,wm
T=0.1_43_wm,0.1,0.8507,0.4392,79.4444402877698,wm
T=0.1_44_wm,0.1,0.8451,0.4347,80.82714409221902,wm
T=0.1_45_wm,0.1,0.8601,0.4392,80.02963579007744,wm
T=0.1_46_wm,0.1,0.8527,0.4369,80.65443714285715,wm
T=0.1_47_wm,0.1,0.8513,0.4527,81.25639024390244,wm
T=0.1_48_wm,0.1,0.8576,0.4459,80.677091954023,wm
T=0.1_49_wm,0.1,0.8498,0.4527,82.20553925798102,wm
T=0.1_50_wm,0.1,0.8454,0.4482,80.23824320457798,wm
T=0.5_1_original,0.5,1.1176,0.4212,76.57026798307474,original
T=0.5_2_original,0.5,1.1443,0.4077,80.73348257296685,original
T=0.5_3_original,0.5,1.1705,0.4347,79.80160202360877,original
T=0.5_4_original,0.5,1.0997,0.4595,80.8488702810105,original
T=0.5_5_original,0.5,1.0888,0.4392,80.4618530259366,original
T=0.5_6_original,0.5,1.0352,0.4077,79.4432221594121,original
T=0.5_7_original,0.5,1.0803,0.4144,80.16421532326974,original
T=0.5_8_original,0.5,1.0678,0.4257,80.26095035460992,original
T=0.5_9_original,0.5,1.0965,0.4279,80.9549456521739,original
T=0.5_10_original,0.5,1.0486,0.4167,79.40771094640822,original
T=0.5_11_original,0.5,1.0813,0.4077,80.58217144479137,original
T=0.5_12_original,0.5,1.0796,0.4279,78.07583637897105,original
T=0.5_13_original,0.5,1.1189,0.4234,78.14114334961218,original
T=0.5_14_original,0.5,1.0597,0.4167,81.15418352807069,original
T=0.5_15_original,0.5,1.108,0.4302,77.28664106939704,original
T=0.5_16_original,0.5,1.1333,0.4077,80.67395526613818,original
T=0.5_17_original,0.5,1.0629,0.4257,80.78896987087519,original
T=0.5_18_original,0.5,1.0795,0.3986,82.1617577675489,original
T=0.5_19_original,0.5,1.1144,0.4077,77.75740222666286,original
T=0.5_20_original,0.5,1.1053,0.3874,78.64840889402251,original
T=0.5_21_original,0.5,1.0784,0.4032,77.9135528547202,original
T=0.5_22_original,0.5,1.1184,0.4302,80.42309138230192,original
T=0.5_23_original,0.5,1.0999,0.4009,77.83185035971223,original
T=0.5_24_original,0.5,1.1178,0.4234,82.47709389400923,original
T=0.5_25_original,0.5,1.1134,0.3941,78.10695314745615,original
T=0.5_26_original,0.5,1.1198,0.4054,80.28148,original
T=0.5_27_original,0.5,1.0997,0.3986,79.14562014388488,original
T=0.5_28_original,0.5,1.0123,0.4144,81.25650171624713,original
T=0.5_29_original,0.5,1.1291,0.3761,81.19389124893797,original
T=0.5_30_original,0.5,1.169,0.4009,81.24618428490673,original
T=0.5_31_original,0.5,1.0645,0.4122,81.71757276066685,original
T=0.5_32_original,0.5,1.1072,0.4099,79.83234943181819,original
T=0.5_33_original,0.5,1.1112,0.4212,78.1871810005621,original
T=0.5_34_original,0.5,1.1323,0.4122,79.46733829421866,original
T=0.5_35_original,0.5,1.1367,0.3986,80.44184011627907,original
T=0.5_36_original,0.5,1.1678,0.3986,77.34279649023492,original
T=0.5_37_original,0.5,1.0326,0.4144,80.04454283241998,original
T=0.5_38_original,0.5,1.0599,0.4437,80.69980623420388,original
T=0.5_39_original,0.5,1.1262,0.3919,80.66770002867796,original
T=0.5_40_original,0.5,1.1035,0.3919,80.4048523932359,original
T=0.5_41_original,0.5,1.0733,0.4257,80.92662754079586,original
T=0.5_42_original,0.5,1.1188,0.3964,80.05409258733314,original
T=0.5_43_original,0.5,1.1229,0.3919,80.44611586757989,original
T=0.5_44_original,0.5,1.0667,0.4414,78.89349435028248,original
T=0.5_45_original,0.5,1.1008,0.4234,79.54303202040238,original
T=0.5_46_original,0.5,1.0352,0.455,78.44072598870056,original
T=0.5_47_original,0.5,1.0452,0.4077,78.16847524752475,original
T=0.5_48_original,0.5,1.1033,0.4189,78.784104519774,original
T=0.5_49_original,0.5,1.068,0.4279,78.33978485370051,original
T=0.5_50_original,0.5,1.1217,0.4122,77.25881698973774,original
T=0.5_1_wm,0.5,1.0993,0.4144,77.87380575945792,wm
T=0.5_2_wm,0.5,1.0997,0.4167,79.72390257879657,wm
T=0.5_3_wm,0.5,1.0996,0.4324,80.07734966592427,wm
T=0.5_4_wm,0.5,1.0671,0.4077,80.30977213729449,wm
T=0.5_5_wm,0.5,1.0472,0.4347,81.75736811594203,wm
T=0.5_6_wm,0.5,1.1108,0.4279,81.52841547277939,wm
T=0.5_7_wm,0.5,1.0819,0.4437,79.3077607274794,wm
T=0.5_8_wm,0.5,1.0886,0.4414,82.35229172590276,wm
T=0.5_9_wm,0.5,1.1259,0.4189,82.1616127184188,wm
T=0.5_10_wm,0.5,1.0368,0.4167,76.92878951865565,wm
T=0.5_11_wm,0.5,1.0999,0.4212,80.37389576734813,wm
T=0.5_12_wm,0.5,1.1084,0.3986,78.82629142857144,wm
T=0.5_13_wm,0.5,1.0721,0.4414,81.77013968072977,wm
T=0.5_14_wm,0.5,1.07,0.4054,80.71219924264491,wm
T=0.5_15_wm,0.5,1.0816,0.4347,80.46285632676377,wm
T=0.5_16_wm,0.5,1.1599,0.4144,77.63645197740114,wm
T=0.5_17_wm,0.5,1.1172,0.3941,79.83385969976905,wm
T=0.5_18_wm,0.5,1.115,0.3896,79.35157436938242,wm
T=0.5_19_wm,0.5,1.0849,0.4099,78.04012790697675,wm
T=0.5_20_wm,0.5,1.1337,0.3806,78.39050585881681,wm
T=0.5_21_wm,0.5,1.0953,0.4054,78.26869677790563,wm
T=0.5_22_wm,0.5,1.1025,0.4369,79.35372079439253,wm
T=0.5_23_wm,0.5,1.0566,0.4009,79.72504312823462,wm
T=0.5_24_wm,0.5,1.1213,0.4369,76.44134129013925,wm
T=0.5_25_wm,0.5,1.1141,0.3964,78.61197527395336,wm
T=0.5_26_wm,0.5,1.1404,0.4099,79.97609041796987,wm
T=0.5_27_wm,0.5,1.0982,0.4099,81.77910951008646,wm
T=0.5_28_wm,0.5,0.9948,0.4189,80.19433093525181,wm
T=0.5_29_wm,0.5,1.1089,0.3829,81.46750796870472,wm
T=0.5_30_wm,0.5,1.1281,0.4122,78.60043791414577,wm
T=0.5_31_wm,0.5,1.0691,0.4144,78.95024741081704,wm
T=0.5_32_wm,0.5,1.1045,0.4167,76.51124787294385,wm
T=0.5_33_wm,0.5,1.0968,0.4212,80.08409232512037,wm
T=0.5_34_wm,0.5,1.0438,0.4234,79.48895492391615,wm
T=0.5_35_wm,0.5,1.0895,0.4234,77.97037550548818,wm
T=0.5_36_wm,0.5,1.1699,0.4032,79.05810276679843,wm
T=0.5_37_wm,0.5,1.0667,0.4257,81.1319633286319,wm
T=0.5_38_wm,0.5,1.075,0.4369,80.66805500982319,wm
T=0.5_39_wm,0.5,1.13,0.3874,79.89929234338746,wm
T=0.5_40_wm,0.5,1.114,0.4099,81.38853306953081,wm
T=0.5_41_wm,0.5,1.0911,0.4212,77.74075498575498,wm
T=0.5_42_wm,0.5,1.0912,0.3964,79.12182733812949,wm
T=0.5_43_wm,0.5,1.0922,0.4257,79.88811552759508,wm
T=0.5_44_wm,0.5,1.1129,0.4414,77.40378332387975,wm
T=0.5_45_wm,0.5,1.1197,0.4077,76.57146605818596,wm
T=0.5_46_wm,0.5,1.0985,0.4347,81.59835765379113,wm
T=0.5_47_wm,0.5,1.1116,0.4009,79.56280381700815,wm
T=0.5_48_wm,0.5,1.0992,0.4302,80.39690132880972,wm
T=0.5_49_wm,0.5,1.0766,0.4167,78.2618769581316,wm
T=0.5_50_wm,0.5,1.0891,0.4122,79.07163841807909,wm
T=0.7_1_original,0.7,1.3395,0.3896,76.28784237003913,original
T=0.7_2_original,0.7,1.3259,0.3829,76.76150650084793,original
T=0.7_3_original,0.7,1.445,0.4032,77.86246320466536,original
T=0.7_4_original,0.7,1.3368,0.4302,79.25424680851063,original
T=0.7_5_original,0.7,1.29,0.4099,77.37627845884414,original
T=0.7_6_original,0.7,1.2923,0.3874,78.7676955782313,original
T=0.7_7_original,0.7,1.263,0.3919,78.07687464387466,original
T=0.7_8_original,0.7,1.3356,0.3761,75.28934421534937,original
T=0.7_9_original,0.7,1.3262,0.4032,77.3789895273139,original
T=0.7_10_original,0.7,1.3006,0.3806,78.66416193181817,original
T=0.7_11_original,0.7,1.389,0.3829,77.00836549375708,original
T=0.7_12_original,0.7,1.4176,0.3829,77.48687412391365,original
T=0.7_13_original,0.7,1.423,0.3671,77.56755923494148,original
T=0.7_14_original,0.7,1.3461,0.4032,74.17920000000001,original
T=0.7_15_original,0.7,1.3297,0.4189,74.74072500708014,original
T=0.7_16_original,0.7,1.428,0.3626,76.79349828375287,original
T=0.7_17_original,0.7,1.3211,0.4077,80.65799941927992,original
T=0.7_18_original,0.7,1.421,0.3694,77.32881601362863,original
T=0.7_19_original,0.7,1.3935,0.3671,77.2343299856528,original
T=0.7_20_original,0.7,1.365,0.3694,76.5788282596209,original
T=0.7_21_original,0.7,1.3581,0.3716,77.10462746217529,original
T=0.7_22_original,0.7,1.3599,0.4077,76.19928693667998,original
T=0.7_23_original,0.7,1.3072,0.3784,77.91321224256292,original
